Accounts,On/Off,Wine,Date,Address,Lat,Lon
Amber Ox Kitchen & Brewery,on,Five Forks,6/20,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Amber Ox Kitchen & Brewery,on,Foothills,6/20,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Arrowine,off,Rosé,6/20,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,off,Rosé,6/20,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,off,Rosé,6/20,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Barrel Chest,off,Foothills,6/20,"4035 Electric Rd. #B, Roanoke, VA 24018",37.2235279,-79.982868
Barrel Chest,off,Five Forks,6/20,"4035 Electric Rd. #B, Roanoke, VA 24018",37.2235279,-79.982868
Barrel Thief,on/off,Pétillant Naturel White,6/20,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Barrel Thief,on/off,Petit Manseng,6/20,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Barrel Thief,on/off,Rosé,6/20,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Barrel Thief,on/off,Pétillant Naturel White,6/20,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Beer Run,on/off,Young Wine,6/20,"156 Carlton Rd Ste 203, Charlottesville, VA 22902",38.0246361,-78.468401
Blanca,on,Petit Manseng,6/20,"4117 Granby St Ste A, Norfolk, VA 23504",36.8846514,-76.2818304
Buck's Fishing,on,Rosé,6/20,"5031 Connecticut Ave NW, Washington, DC 20008",38.955832,-77.0698701
Caboose,on/off,Chardonnay,6/20,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Caboose,on/off,Foothills,6/20,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
City Vino,off,Rosé,6/20,"810 Caroline St Suite 101, Fredericksburg, VA 22401",38.3019961,-77.4590376
City Vino,off,Eluvium,6/20,"810 Caroline St Suite 101, Fredericksburg, VA 22401",38.3019961,-77.4590376
City Vino,off,Young Wine,6/20,"810 Caroline St Suite 101, Fredericksburg, VA 22401",38.3019961,-77.4590376
City Vino,off,Five Forks,6/20,"810 Caroline St Suite 101, Fredericksburg, VA 22401",38.3019961,-77.4590376
Common House,on,Pétillant Naturel White,6/20,"206 West Market Street, Charlottesville, VA 22902",38.0317194,-78.4822538
Common House,on,Rosé,6/20,"206 West Market Street, Charlottesville, VA 22902",38.0317194,-78.4822538
Commune - Virginia Beach,on,Foothills,6/20,"501 Virginia Beach Blvd. Ste. B, Virginia Beach, VA 23451",36.8441296,-75.9793877
Crystal City Wine Shop,off,Five Forks,6/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Petit Manseng,6/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Young Wine,6/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Rosé,6/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal Palate,off,Chardonnay,6/20,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Department of Beer & Wine,off,Rosé,6/20,"2724 Richmond Hwy, Alexandria, VA 22301",38.830645,-77.051175
Department of Beer & Wine,off,Pétillant Naturel White,6/20,"2724 Richmond Hwy, Alexandria, VA 22301",38.830645,-77.051175
Dominion Wine and Beer,on/off,Five Forks,6/20,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Dominion Wine and Beer,on/off,Foothills,6/20,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
