Accounts,On/Off,Wine,Date,Address,Lat,Lon
313 Franklin,on ,Shenandoah Valley Cabernet Franc,2/20,"313 Franklin Street, South Hill, VA 23970",36.726272,-78.1245498
A Rake's Progress,on,Shenandoah Valley Cabernet Franc,2/20,"1773 Euclid St NW, Washington, DC 20009",38.9230686,-77.0414415
Alewife,on,Young Wine Chambourcin,2/20,"3120 E Marshall St., Richmond, VA 23223",37.5288799,-77.4116006
Alewife,on,Young Wine Chambourcin,2/20,"3120 E Marshall St., Richmond, VA 23223",37.5288799,-77.4116006
Alley Light,on,Shenandoah Valley Cabernet Franc,2/20,"108 2nd St. SW, Charlottesville, VA 22902",38.0305995,-78.482276
Alley Light,on,Shenandoah Valley Cabernet Franc,2/20,"108 2nd St. SW, Charlottesville, VA 22902",38.0305995,-78.482276
Amber Ox Kitchen & Brewery,on,Chardonnay,2/20,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Amber Ox Kitchen & Brewery,on,Chardonnay,2/20,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Amber Ox Kitchen & Brewery,on,Chardonnay,2/20,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Amber Ox Kitchen & Brewery,on,Foothills,2/20,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Ashby Inn,on,Eluvium,2/20,"692 Federal St, Paris, VA 20130",39.0045423,-77.951727
Ashby Inn,on,Petit Manseng,2/20,"692 Federal St, Paris, VA 20130",39.0045423,-77.951727
Astor Wines & Spirits,off,Eluvium,2/20,"399 Lafayette St, Manhattan, NY 10003",40.7279823,-73.9926938
Astor Wines & Spirits,off,Petit Manseng,2/20,"399 Lafayette St, Manhattan, NY 10003",40.7279823,-73.9926938
Barrel Thief,on/off,Foothills,2/20,"5805 Patterson Ave, Richmond, VA 23226",37.2235279,-79.982868
Barrel Thief,on/off,Foothills,2/20,"5805 Patterson Ave, Richmond, VA 23226",37.2235279,-79.982868
