Accounts,On/Off,Wine,Date,Address,Lat,Lon
Barrel Chest,Off,Cabernet Franc,12/21,"2601 Franklin Rd. Suite A, Roanoke, VA 24014",37.2489661,-79.9590297
Heirloom,on,Cabernet Franc,12/21,"2484 N Landing Rd #113, Virginia Beach, VA 23456",36.7493507,-76.0582579
Heirloom,on,Cabernet Franc,12/21,"2484 N Landing Rd #113, Virginia Beach, VA 23456",36.7493507,-76.0582579
Organic Butcher of McLean,off,Cabernet Franc,12/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Salisbury Country Club,on,Cabernet Franc,12/21,"13620 W. Salisbury Rd, Midlothian, VA 23113",37.527933,-77.653554
Wine Guild,off,Cabernet Franc,12/21,"221 Carlton Rd, Suite 1, Charlottesville, VA 22902",38.0239329,-78.4698251
Wine Guild,off,Cabernet Franc,12/21,"221 Carlton Rd, Suite 1, Charlottesville, VA 22902",38.0239329,-78.4698251
Balducci's - Alexandria,Off,Chardonnay,1/22,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Barrel Thief,Off,Chardonnay,1/22,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Bottleworks,off,Chardonnay,1/22,"3078 Stony Point Rd., Richmond, VA 23235",37.537796,-77.5651916
Caboose,on,Chardonnay,1/22,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Mae's Market,off,Chardonnay,1/22,"Virginia's Darling LLC, Alexandria, VA 22314",38.7999723,-77.0506896
Mona Lisa,off,Chardonnay,1/22,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Thornton River Grille,on,Chardonnay,1/22,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,1/22,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Tinto Wine & Cheese - Chesapeake,on,Chardonnay,1/22,"236 Carmichael Way #308, Chesapeake, VA 23322",36.660423,-76.233525
Tinto Wine & Cheese - Hilltop,on,Chardonnay,1/22,"640 Hilltop West Shopping Ctr, Virginia Beach, VA 23451",36.8524094,-76.0208537
Town Duck,on,Chardonnay,1/22,"100 Main St, Warrenton, VA 20186",38.7122701,-77.7930779
Caboose,on/off,Chardonnay,11/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Clementine Cafe,on,Chardonnay,11/21,"153 S Main St, Harrisonburg, VA 22801",38.4478062,-78.8692932
Corks & Kegs,off,Chardonnay,11/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Crystal Palate,off,Chardonnay,11/21,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Dominion Wine and Beer,on/off,Chardonnay,11/21,"107 Rowell Ct., Falls Church, VA 22046",38.889851,-77.1836308
Fat Canary,on,Chardonnay,11/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Green Hill Kitchen,on,Chardonnay,11/21,"48 Front Street, Greenport, NY 11944",41.1024434,-72.3602946
Lafayette Inn,on,Chardonnay,11/21,"146 Main St, Stanardsville, VA 22973",38.2973026,-78.4385356
Lucky,on,Chardonnay,11/21,"18 Kirk Ave SW, Roanoke, VA 24011",37.2709987,-79.9414035
Market Street Wine Shop,off,Chardonnay,11/21,"311 East Market St, Charlottesville, VA 22902",38.0310819,-78.4790515
Metro Liquors,off,Chardonnay,11/21,"1726 Columbia Rd NW, Washington, DC 20009",38.9243637,-77.0397196
Primland Resort,on,Chardonnay,11/21,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6881805,-80.3543771
Primland Resort,on,Chardonnay,11/21,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6881805,-80.3543771
Thornton River Grille,on,Chardonnay,11/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,11/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Walsh Family Wines,on,Chardonnay,11/21,"16031 Hillsboro Road, Purcellville, VA 20132",39.1739045,-77.7251377
Westside Produce & Provisions,off,Chardonnay,11/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Barrel Thief,on/off,Chardonnay,12/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Blacksburg Wine Lab,on,Chardonnay,12/21,"223 Gilbert Street, Blacksburg, VA 24060",37.2331803,-80.4212379
Caboose,on/off,Chardonnay,12/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Crystal Spring Grocery,Off,Chardonnay,12/21,"2205 Crystal Spring Ave SW, Roanoke, VA 24014",37.2485824,-79.9468989
Dominion Wine and Beer,on/off,Chardonnay,12/21,"107 Rowell Ct., Falls Church, VA 22046",38.889851,-77.1836308
Ellwood Thompson,off,Chardonnay,12/21,"4 N Thompson St, Richmond, VA 23221",37.5574138,-77.4884332
Ellwood Thompson,off,Chardonnay,12/21,"4 N Thompson St, Richmond, VA 23221",37.5574138,-77.4884332
Ellwood Thompson,off,Chardonnay,12/21,"4 N Thompson St, Richmond, VA 23221",37.5574138,-77.4884332
Fat Canary,on,Chardonnay,12/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Chardonnay,12/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Foods of All Nations,off,Chardonnay,12/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Greenwood,off,Chardonnay,12/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Mae's Market,On/Off,Chardonnay,12/21,"277 S Washington St, Alexandria, VA 22314",38.8033071,-77.0475695
Marigold by Jean Georges,on,Chardonnay,12/21,"Keswick Hall & Golf Club, Keswick, VA 22947",38.0167803,-78.3666045
Mona Lisa,off,Chardonnay,12/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Old Lex Mercantile,Off,Chardonnay,12/21,"113 W Nelson St., Lexington, VA 24450",37.7851009,-79.4439846
Salisbury Country Club,on,Chardonnay,12/21,"13620 W. Salisbury Rd, Midlothian, VA 23113",37.527933,-77.653554
Thornton River Grille,on,Chardonnay,12/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,12/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Whole Ox,on/off,Chardonnay,12/21,"8357 West Main Street, Marshall, VA 20115",38.8651661,-77.856671
Williamsburg Winery,on,Chardonnay,12/21,"5800 Wessex Hundred, Williamsburg, VA 23185",37.2315138,-76.718275
Wine Guild,off,Chardonnay,12/21,"221 Carlton Rd, Suite 1, Charlottesville, VA 22902",38.0239329,-78.4698251
Wine Guild,off,Chardonnay,12/21,"221 Carlton Rd, Suite 1, Charlottesville, VA 22902",38.0239329,-78.4698251
Wine Warehouse,off,Chardonnay,12/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Arrowine,Off,Chardonnay,2/22,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Basic Necessities,Off,Chardonnay,2/22,"2226 Rockfish Valley Hwy, Nellysford, VA 22958",37.8864588,-78.8838422
Caboose,on,Chardonnay,2/22,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Foods of All Nations,off,Chardonnay,2/22,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Locke Store,off,Chardonnay,2/22,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
Norm's Beer & Wine,off,Chardonnay,2/22,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Norm's Beer & Wine,off,Chardonnay,2/22,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Caboose,on,Chardonnay,3/22,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Corks & Kegs,off,Chardonnay,3/22,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Crystal Spring Grocery,off,Chardonnay,3/22,"2205 Crystal Spring Ave SW, Roanoke, VA 24014",37.2485824,-79.9468989
Greenwood,off,Chardonnay,3/22,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
J Emerson,off,Chardonnay,3/22,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Lydia Mountain Lodge,on,Chardonnay,3/22,"426 Mountain Laurel Pass, Stanardsville, VA 22973",38.3359273,-78.4848288
Mae's Market,off,Chardonnay,3/22,"Virginia's Darling LLC, Alexandria, VA 22314",38.8079236,-77.0563564
Mom's Apple Pie - Hill High,off,Chardonnay,3/22,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Mom's Apple Pie - Occoquan,off,Chardonnay,3/22,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6823226,-77.260111
Mona Lisa,off,Chardonnay,3/22,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Omni - Homestead Resort,on,Chardonnay,3/22,"7696 Sam Snead Highway, Hot Springs, VA 24445",37.9970692,-79.8305868
"Salt Line, The- Ballston",on,Chardonnay,3/22,"4040 Wilson Blvd., Arlington, VA 22203",38.8796459,-77.1086715
Thornton River Grille,on,Chardonnay,3/22,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Valley Pike Farm Market,off,Chardonnay,3/22,"3494 Lee Highway, Weyers Cave, VA 24486",38.2934427,-78.9356747
White Moose Inn,on,Chardonnay,3/22,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
Mona Lisa,off,Chardonnay,4/22,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Thornton River Grille,on,Chardonnay,4/22,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Crystal Spring Grocery,off,Chardonnay,4/22,"2205 Crystal Spring Ave SW, Roanoke, VA 24014",37.2485824,-79.9468989
Primland Resort,on,Chardonnay,4/22,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6881805,-80.3543771
Fat Canary,on,Chardonnay,4/22,"The Cheese Shop of VA, Inc. 410 W Duke of Gloucester St, Williamsburg, VA 23185",37.2706994,-76.7061859
Westside Produce & Provisions,off,Chardonnay,4/22,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Wool Factory,on/off,Chardonnay,4/22,"1837 Broadway Street, Charlottesville, VA 22902",38.0197143,-78.4557898
Thornton River Grille,on,Chardonnay,4/22,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Mae's Market,off,Chardonnay,4/22,"277 S. Washington Street, Alexandria, VA 22314",38.80318,-77.047832
Marigold by Jean Georges,on,Chardonnay,4/22,"701 Club Dr, Keswick, VA 22947",38.0169403,-78.3664009
Von,on,Chardonnay,4/22,"3 Bleeker Street, New York, NY 10012",40.7254829,-73.9926215
Norm's Beer & Wine,off,Chardonnay,4/22,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Arrowine,Off,Chardonnay,5/22,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Marigold by Jean Georges,on,Chardonnay,5/22,"701 Club Dr, Keswick, VA 22947",38.0169403,-78.3664009
Barrel Chest,Off,Chardonnay,5/22,"2601 Franklin Rd. Suite A, Roanoke, VA 24014",37.2489661,-79.9590297
Primland Resort,on,Chardonnay,5/22,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6881805,-80.3543771
Fat Canary,on,Chardonnay,5/22,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Town Duck,on,Chardonnay,5/22,"100 Main St, Warrenton, VA 20186",38.7122701,-77.7930779
Barrel Thief,Off,Chardonnay,5/22,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Caboose,on,Chardonnay,5/22,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Foods of All Nations,off,Chardonnay,5/22,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Westside Produce & Provisions,off,Chardonnay,5/22,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
City Vino,off,Chardonnay,5/22,"810 Caroline St Ste 101, Fredericksburg, VA 22407",38.3020808,-77.4587685
White Moose Inn,on,Chardonnay,5/22,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
J Emerson,off,Chardonnay,5/22,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Mona Lisa,off,Chardonnay,5/22,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Thornton River Grille,on,Chardonnay,5/22,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Greenwood,off,Chardonnay,5/22,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Balducci's - Alexandria,Off,Eluvium,1/22,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Bluejacket,on,Eluvium,1/22,"300 Tingey St. SE, Washington, DC 20374",38.8751743,-77.0014763
Bluejacket,on,Eluvium,1/22,"300 Tingey St. SE, Washington, DC 20374",38.8751743,-77.0014763
City Vino,off,Eluvium,1/22,"810 Caroline St Ste 101, Fredericksburg, VA 22407",38.3020808,-77.4587685
Ellwood Thompson,off,Eluvium,1/22,"4 N Thompson St, Richmond, VA 23221",37.5574138,-77.4884332
Fat Canary,on,Eluvium,1/22,"The Cheese Shop of VA, Inc. 410 W Duke of Gloucester St, Williamsburg, VA 23185",37.2706994,-76.7061859
Foods of All Nations,off,Eluvium,1/22,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Knead Wine,on,Eluvium,1/22,"5 W Washington Street, Middleburg, VA 20117",38.9687122,-77.7358083
Local Chop & Grill House,on,Eluvium,1/22,"56 W Gay St #107, Harrisonburg, VA 22802",38.4539237,-78.8684235
Market Street Wine Shop,off,Eluvium,1/22,"311 East Market St, Charlottesville, VA 22902",38.0310819,-78.4790515
Mona Lisa,off,Eluvium,1/22,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Olmsted,On,Eluvium,1/22,"659 Vanderbilt Ave, Brooklyn, NY 11238",40.677064,-73.9687578
