Accounts,On/Off,Wine,Date,Address,Lat,Lon
La Fromagerie,on/off,Eluvium,12/20,"1222 King St, Alexandria, VA 22314",38.805648,-77.053429
Whole Foods - South Capitol Hill,on/off,Five Forks,12/20,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Heritage Wines,off,Foothills,12/20,"237 Dekalb Ave, Brooklyn, NY 11205",40.689639,-73.9697513
St. Vincent,on,Petit Manseng,12/20,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Ellwood Thompson,off,Young Wine,12/20,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Ellwood Thompson,off,Foothills,12/20,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Fat Canary,on,Foothills,12/20,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Whole Foods - Charlottesville,on/off,Foothills,12/20,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Fat Canary,on,Eluvium,12/20,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Dandelion Wine,Off,Five Forks,12/20,"153 Franklin Street, Brooklyn, NY 11222",40.731666,-73.9580947
Whole Foods - Short Pump,on/off,Foothills,12/20,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Fat Canary,on,Five Forks,12/20,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
J Emerson,off,Foothills,12/20,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Mr. Bill's Wine Cellar,off,Young Wine,12/20,"2825 B Brambleton Ave., Roanoke, VA 24015",37.2438511,-79.9909487
River and Rail,on,Foothills,12/20,"2201 Crystal Spring Ave. SW, Roanoke, VA 24014",37.2487077,-79.9468159
Fat Canary,on,Shenandoah Valley Cabernet Franc,12/20,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Barrel Thief,on/off,Chardonnay,12/20,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Friendly City Food Co-op,off,Five Forks,12/20,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Foothills,12/20,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Roanoke Natural Foods Co-op,off,Young Wine,12/20,"1319 Grandin Rd SW, Roanoke, VA 24015",37.2652232,-79.9776246
Arrowine,off,Foothills,12/20,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Mom's Apple Pie Hill High,off,Young Wine,12/20,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Planet Wine,off,Young Wine,12/20,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Thornton River Grille,on,Chardonnay,12/20,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Rio Hill Wine & Beer,off,Eluvium,12/20,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Planet Wine,off,Shenandoah Valley Cabernet Franc,12/20,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Thornton River Grille,on,Foothills,12/20,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Eluvium,12/20,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Arrowine,off,Eluvium,12/20,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Rio Hill Wine & Beer,off,Foothills,12/20,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
RichWine,off,Foothills,12/20,"2601 Maury Street, Richmond, VA 23224",37.5095,-77.4565725
Wine Warehouse,off,Shenandoah Valley Cabernet Franc,12/20,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Commonwealth Club,on,Quaker Run Chardonnay,12/20,"401 W. Franklin Street, Richmond, VA 23220",37.5458434,-77.447656
Bottleworks,off,Foothills,12/20,"3078 Stony Point Rd., Richmond, VA 23235",37.537796,-77.5651916
Hot Cakes,on/off,Eluvium,12/20,"Barracks Road Shopping Center, Charlottesville, VA 22903",38.0528154,-78.5012568
Jefferson Hotel,on,Foothills,12/20,"101 W Franklin St, Richmond, VA 23220",37.5442364,-77.4454155
"Wool Factory, The",on/off,Foothills,12/20,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Hot Cakes,on/off,Foothills,12/20,"Barracks Road Shopping Center, Charlottesville, VA 22903",38.0528154,-78.5012568
VMFA,on,Five Forks,12/20,"VA Museum Members Restaurant, Richmond, VA 23221",37.5560356,-77.4747907
Drink PLG,off,Foothills,12/20,"492 Flatbush Avenue, New York, NY 11225",40.662059,-73.962005
Foods of All Nations,off,Foothills,12/20,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Mona Lisa,off,Young Wine,12/20,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Unwined Belle View,off,Rosé,12/20,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Capital Ale House - Fairfax,on,Foothills,12/20,"4069 Chain Bridge Rd, Fairfax, VA 22030",38.8442986,-77.3073582
Dominion Wine and Beer,on/off,Five Forks,12/20,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Whole Foods - Old Town,on/off,Foothills,12/20,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Ellwood Thompson,off,Quaker Run Chardonnay,12/20,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Commune - Norfolk,on,Foothills,12/20,"759 Granby St., Norfolk, VA 23510",36.8562717,-76.2885787
Crystal Palate,off,Chardonnay,12/20,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Fat Canary,on,Foothills,12/20,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Shields Market,Off,Foothills,12/20,"206 North Shields Avenue, Richmond, VA 23220",37.5530887,-77.4668696
Whole Foods - Charlottesville,on/off,Foothills,12/20,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Fat Canary,on,Five Forks,12/20,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Friendly City Food Co-op,off,Young Wine,12/20,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Basic City Beer Co.,on,Five Forks,12/20,"1010 E Main St, Waynesboro, VA 22980",38.0634845,-78.873384
Friendly City Food Co-op,off,Foothills,12/20,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Prosperity Kitchen & Pantry,on,Young Wine,12/20,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Shenandoah Confections,on,Shenandoah Valley Cabernet Franc,12/20,"477-E South Street, Front Royal, VA 22630",38.9107485,-78.1874806
La Fromagerie,on/off,Eluvium,12/20,"1222 King St, Alexandria, VA 22314",38.805648,-77.053429
Balducci's - Alexandria,off,Chardonnay,12/20,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Crystal City Wine Shop,off,Foothills,12/20,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
St. Anselm,on,Shenandoah Valley Cabernet Franc,12/20,"1250 5th St. NE, Washington, DC 20002",38.9077745,-76.9990918
Three Blacksmiths,on,Eluvium,12/20,"20 Main St, Sperryville, VA 22740",38.6586366,-78.2296581
Vino Market,off,Foothills,12/20,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Win Son,on,Young Wine,12/20,"159 Graham Ave, Brooklyn, NY 11206",40.7074661,-73.9434952
Win Son,on,Young Wine,12/20,"159 Graham Ave, Brooklyn, NY 11206",40.7074661,-73.9434952
Vanderbilt Wine Merchants,Off,Young Wine,12/20,"573 Vanderbilt Ave, Broooklyn, NY 11238",40.6805749,-73.9674951
Department of Beer & Wine,off,Five Forks,12/20,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Department of Beer & Wine,off,Foothills,12/20,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Department of Beer & Wine,off,Young Wine,12/20,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Department of Beer & Wine,off,Shenandoah Valley Cabernet Franc,12/20,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
J Emerson,off,Shenandoah Valley Cabernet Franc,12/20,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
